,ENO_total,FBA1_total,FBA2_total,GAPD_total,PGK_total,PGMd_total,PGMi_total,TPI_total
1080,1,2,2,2,2,1,1,1
1081,1,2,2,2,2,1,1,2
1082,1,2,2,2,2,1,1,3
1083,1,2,2,2,2,1,2,1
1084,1,2,2,2,2,1,2,2
1085,1,2,2,2,2,1,2,3
1086,1,2,2,2,2,1,3,1
1087,1,2,2,2,2,1,3,2
1088,1,2,2,2,2,1,3,3
1089,1,2,2,2,2,2,1,1
1090,1,2,2,2,2,2,1,2
1091,1,2,2,2,2,2,1,3
1092,1,2,2,2,2,2,2,1
1093,1,2,2,2,2,2,2,2
1094,1,2,2,2,2,2,2,3
1095,1,2,2,2,2,2,3,1
1096,1,2,2,2,2,2,3,2
1097,1,2,2,2,2,2,3,3
1098,1,2,2,2,2,3,1,1
1099,1,2,2,2,2,3,1,2
1100,1,2,2,2,2,3,1,3
1101,1,2,2,2,2,3,2,1
1102,1,2,2,2,2,3,2,2
1103,1,2,2,2,2,3,2,3
1104,1,2,2,2,2,3,3,1
1105,1,2,2,2,2,3,3,2
1106,1,2,2,2,2,3,3,3
1107,1,2,2,2,3,1,1,1
1108,1,2,2,2,3,1,1,2
1109,1,2,2,2,3,1,1,3
1110,1,2,2,2,3,1,2,1
1111,1,2,2,2,3,1,2,2
1112,1,2,2,2,3,1,2,3
1113,1,2,2,2,3,1,3,1
1114,1,2,2,2,3,1,3,2
1115,1,2,2,2,3,1,3,3
1116,1,2,2,2,3,2,1,1
1117,1,2,2,2,3,2,1,2
1118,1,2,2,2,3,2,1,3
1119,1,2,2,2,3,2,2,1
1120,1,2,2,2,3,2,2,2
1121,1,2,2,2,3,2,2,3
1122,1,2,2,2,3,2,3,1
1123,1,2,2,2,3,2,3,2
1124,1,2,2,2,3,2,3,3
1125,1,2,2,2,3,3,1,1
1126,1,2,2,2,3,3,1,2
1127,1,2,2,2,3,3,1,3
1128,1,2,2,2,3,3,2,1
1129,1,2,2,2,3,3,2,2
1130,1,2,2,2,3,3,2,3
1131,1,2,2,2,3,3,3,1
1132,1,2,2,2,3,3,3,2
1133,1,2,2,2,3,3,3,3
1141,1,2,2,3,1,1,3,2
1150,1,2,2,3,1,2,3,2
1159,1,2,2,3,1,3,3,2
1161,1,2,2,3,2,1,1,1
1162,1,2,2,3,2,1,1,2
1163,1,2,2,3,2,1,1,3
1164,1,2,2,3,2,1,2,1
1165,1,2,2,3,2,1,2,2
1166,1,2,2,3,2,1,2,3
1167,1,2,2,3,2,1,3,1
1168,1,2,2,3,2,1,3,2
1169,1,2,2,3,2,1,3,3
1170,1,2,2,3,2,2,1,1
1171,1,2,2,3,2,2,1,2
1172,1,2,2,3,2,2,1,3
1173,1,2,2,3,2,2,2,1
1174,1,2,2,3,2,2,2,2
1175,1,2,2,3,2,2,2,3
1176,1,2,2,3,2,2,3,1
1177,1,2,2,3,2,2,3,2
1178,1,2,2,3,2,2,3,3
