,Unnamed: 1,vENO,vFBA1,vFBA2,vGAPD,vPGK,vPGMd,vPGMi,vTPI,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
4767,0,1.466126251978804e-07,0.9999999887803818,7.232404860203375e-10,1.49781236478553e-09,4.743136862991503e-10,1.7390566786728273e-10,3.580122877831921e-08,1.346959430376804e-08,4.720180935402327e-12,2.0815973082850778e-14,4.224164308385082e-16,2.637248527667443e-14,3.602748652080596e-16,1.6156879982420914e-11,5.706327223607919e-16,5.206770912845976e-12,1.9526693715125208e-11,2.8418158019842843e-13,6.282863792747139e-09,0.0,5.738473661425076e-09
4767,1,1.466126251978804e-07,0.9999999887803818,7.232404860203375e-10,1.49781236478553e-09,4.743136862991503e-10,1.7390566786728273e-10,3.580122877831921e-08,1.346959430376804e-08,4.720180935402327e-12,2.0815973082850778e-14,4.224164308385082e-16,2.637248527667443e-14,3.602748652080596e-16,1.6156879982420914e-11,5.706327223607919e-16,5.206770912845976e-12,1.9526693715125208e-11,2.8418158019842843e-13,6.282863792747139e-09,0.0,5.738473661425076e-09
4768,0,1.1230116820687923e-12,7.950492855605621e-10,6.622683081770711e-10,1.649763993025559e-06,7.726542141259481e-12,8.813214419581415e-09,7.987453202733993e-06,1.8161169449557195e-08,2.5092709370781935e-13,5.787135779062061e-14,2.787948443534154e-14,3.4186554988281666e-14,2.7020614890604466e-15,1.6497206083962017e-10,1.410851744277382e-09,1.4937495412768438e-09,9.59337797110268e-11,3.1011943121482803e-13,7.438960309881632e-08,2.903302888664112e-16,4.304806252565775e-09
4768,1,1.1230116820687923e-12,7.950492855605621e-10,6.622683081770711e-10,1.649763993025559e-06,7.726542141259481e-12,8.813214419581415e-09,7.987453202733993e-06,1.8161169449557195e-08,2.5092709370781935e-13,5.787135779062061e-14,2.787948443534154e-14,3.4186554988281666e-14,2.7020614890604466e-15,1.6497206083962017e-10,1.410851744277382e-09,1.4937495412768438e-09,9.59337797110268e-11,3.1011943121482803e-13,7.438960309881632e-08,2.903302888664112e-16,4.304806252565775e-09
4769,0,1.208606681335079e-07,0.9999999887803483,2.1644290073598776e-07,1.7384294761300302e-10,2.229996022318025e-09,4.119247056660559e-12,2.016532299210164e-07,6.502052770836385e-06,4.242557023811175e-12,9.300753930635453e-15,1.1264438155693552e-15,2.1488691706919907e-15,1.801374326040298e-16,1.4172577418111168e-14,2.698967237567626e-11,3.30863576529787e-09,1.8428375655531265e-11,7.630591545887066e-13,1.8535246329336498e-07,1.451651444332056e-16,3.7678902749335056e-10
4769,1,1.208606681335079e-07,0.9999999887803483,2.1644290073598776e-07,1.7384294761300302e-10,2.229996022318025e-09,4.119247056660559e-12,2.016532299210164e-07,6.502052770836385e-06,4.242557023811175e-12,9.300753930635453e-15,1.1264438155693552e-15,2.1488691706919907e-15,1.801374326040298e-16,1.4172577418111168e-14,2.698967237567626e-11,3.30863576529787e-09,1.8428375655531265e-11,7.630591545887066e-13,1.8535246329336498e-07,1.451651444332056e-16,3.7678902749335056e-10
4770,0,5.785089145416371e-07,0.9999999887803817,1.6393250402853172e-11,1.613736369910811e-09,2.814582679532753e-10,4.2277574237571536e-11,2.6894066105276086e-11,2.7200390540658336e-07,2.213230355246309e-11,4.9308758933845105e-14,9.997188863178027e-15,1.9144470793437735e-14,1.801374326040298e-16,2.7353074416954555e-14,2.2949022068639492e-11,2.1984789530194095e-09,1.0873484846723252e-11,1.2742490986834885e-08,8.374062978983519e-07,1.451651444332056e-16,4.904412722340943e-15
4770,1,5.785089145416371e-07,0.9999999887803817,1.6393250402853172e-11,1.613736369910811e-09,2.814582679532753e-10,4.2277574237571536e-11,2.6894066105276086e-11,2.7200390540658336e-07,2.213230355246309e-11,4.9308758933845105e-14,9.997188863178027e-15,1.9144470793437735e-14,1.801374326040298e-16,2.7353074416954555e-14,2.2949022068639492e-11,2.1984789530194095e-09,1.0873484846723252e-11,1.2742490986834885e-08,8.374062978983519e-07,1.451651444332056e-16,4.904412722340943e-15
4771,0,1.1874890549527964e-05,7.883964666202504e-10,6.567297927076074e-10,1.5951215480661882e-06,5.6655723751983996e-12,1.3038087348700628e-08,1.0121768034421045e-05,1.7560999804268067e-08,4.1068264109299407e-16,2.2247993926139094e-13,3.013237206648025e-14,3.555401718781294e-14,7.205497304161192e-16,1.5940308826894755e-10,1.3991657567561554e-09,1.443426957564023e-09,9.27675692255111e-11,3.979839015328818e-13,4.352798197176872e-08,8.709908665992337e-16,4.291825906893979e-09
4771,1,1.1874890549527964e-05,7.883964666202504e-10,6.567297927076074e-10,1.5951215480661882e-06,5.6655723751983996e-12,1.3038087348700628e-08,1.0121768034421045e-05,1.7560999804268067e-08,4.1068264109299407e-16,2.2247993926139094e-13,3.013237206648025e-14,3.555401718781294e-14,7.205497304161192e-16,1.5940308826894755e-10,1.3991657567561554e-09,1.443426957564023e-09,9.27675692255111e-11,3.979839015328818e-13,4.352798197176872e-08,8.709908665992337e-16,4.291825906893979e-09
