,,ENO_total,FBA1_total,FBA2_total,GAPD_total,PGK_total,PGMd_total,PGMi_total,TPI_total,dpg,twopg,threepg,adp,atp,dhap,fdp,g3p,nad,nadh,pep,pi,two3pg
118,0,9.05574864472542e-06,8.921332052827918e-11,1.5906410309636466e-05,1.1385058686331162e-05,0.0020403598007238894,4.0304321423059466e-07,1.2236121764000045e-06,3.83053203486128e-06,1.4395691332547433e-05,8.820964851824531e-05,0.0013893207998422986,0.0005319267852722895,0.007762679206874535,0.0030483118365971155,0.015196586267261277,0.00032397591469650246,0.0025395382553859377,8.224340872439632e-05,0.00017869607932298234,0.02389927171744976,8.256854646335322e-05
118,1,9.05574864472542e-06,8.921332052827918e-11,1.5906410309636466e-05,1.1385058686331162e-05,0.0020403598007238894,4.0304321423059466e-07,1.2236121764000045e-06,3.83053203486128e-06,1.4395691332547433e-05,8.820964851824531e-05,0.0013893207998422986,0.0005319267852722895,0.007762679206874535,0.0030483118365971155,0.015196586267261277,0.00032397591469650246,0.0025395382553859377,8.224340872439632e-05,0.00017869607932298234,0.02389927171744976,8.256854646335322e-05
119,0,9.055881585178497e-06,5.0736293412117223e-11,1.5837627700999056e-05,1.1170618426638873e-05,0.002105448971517737,4.0361690217379893e-07,1.224998184578094e-06,3.85435618940861e-06,1.4092651943168321e-05,8.820879232412416e-05,0.0013840460555879935,0.0005307796281588108,0.007704011329536707,0.0030487923020075624,0.015196601617782081,0.0003240187895731788,0.002539749035841925,8.225591997433226e-05,0.00017869600164618956,0.023899286456047473,8.256827054437111e-05
119,1,9.055881585178497e-06,5.0736293412117223e-11,1.5837627700999056e-05,1.1170618426638873e-05,0.002105448971517737,4.0361690217379893e-07,1.224998184578094e-06,3.85435618940861e-06,1.4092651943168321e-05,8.820879232412416e-05,0.0013840460555879935,0.0005307796281588108,0.007704011329536707,0.0030487923020075624,0.015196601617782081,0.0003240187895731788,0.002539749035841925,8.225591997433226e-05,0.00017869600164618956,0.023899286456047473,8.256827054437111e-05
120,0,9.055524892696316e-06,8.954302956609578e-11,1.5838605323088905e-05,1.1385040386595547e-05,0.002039593737494196,4.030379426341025e-07,1.2236007883328498e-06,3.836240746599593e-06,1.4399274140836336e-05,8.82110892240555e-05,0.001389381231857712,0.0005319410057027781,0.007763369971922578,0.0030487908837333586,0.015196601442239745,0.0003240251084073957,0.0025395383440316396,8.223955523408619e-05,0.0001786962097700466,0.023899271613300656,8.256854858570552e-05
120,1,9.055524892696316e-06,8.954302956609578e-11,1.5838605323088905e-05,1.1385040386595547e-05,0.002039593737494196,4.030379426341025e-07,1.2236007883328498e-06,3.836240746599593e-06,1.4399274140836336e-05,8.82110892240555e-05,0.001389381231857712,0.0005319410057027781,0.007763369971922578,0.0030487908837333586,0.015196601442239745,0.0003240251084073957,0.0025395383440316396,8.223955523408619e-05,0.0001786962097700466,0.023899271613300656,8.256854858570552e-05
121,0,9.055599543502955e-06,6.444320346217185e-11,1.59174663358227e-05,1.1268962138065616e-05,0.0020763949202395725,4.033611527771641e-07,1.2243803917001896e-06,3.6905753574784183e-06,1.4225739615555167e-05,8.821060839702731e-05,0.0013864038989781806,0.0005312924027455417,0.00773019301146822,0.0030483399785005616,0.015196583348175387,0.00032389261923606314,0.002539652314326557,8.225305395367815e-05,0.0001786961661221391,0.023899279919916208,8.256839283942298e-05
121,1,9.055599543502955e-06,6.444320346217185e-11,1.59174663358227e-05,1.1268962138065616e-05,0.0020763949202395725,4.033611527771641e-07,1.2243803917001896e-06,3.6905753574784183e-06,1.4225739615555167e-05,8.821060839702731e-05,0.0013864038989781806,0.0005312924027455417,0.00773019301146822,0.0030483399785005616,0.015196583348175387,0.00032389261923606314,0.002539652314326557,8.225305395367815e-05,0.0001786961661221391,0.023899279919916208,8.256839283942298e-05
122,0,9.055653142217306e-06,5.1952417280270684e-11,1.5837548102667247e-05,1.1179523383316139e-05,0.002102625695147766,4.035932580027358e-07,1.2249417281957526e-06,3.854430481662063e-06,1.410541331929624e-05,8.821026319191837e-05,0.001384274351314953,0.0005308296321905255,0.007706554972403452,0.0030487922603621253,0.015196601635406223,0.000324018828430263,0.002539740285884605,8.225523696467234e-05,0.0001786961348182352,0.023899285840089716,8.256828135268647e-05
122,1,9.055653142217306e-06,5.1952417280270684e-11,1.5837548102667247e-05,1.1179523383316139e-05,0.002102625695147766,4.035932580027358e-07,1.2249417281957526e-06,3.854430481662063e-06,1.410541331929624e-05,8.821026319191837e-05,0.001384274351314953,0.0005308296321905255,0.007706554972403452,0.0030487922603621253,0.015196601635406223,0.000324018828430263,0.002539740285884605,8.225523696467234e-05,0.0001786961348182352,0.023899285840089716,8.256828135268647e-05
123,0,9.042367680258634e-06,7.506069867746856e-11,1.5839174652271536e-05,1.1318101048798914e-05,0.0020595043861710675,4.0329652615200807e-07,1.2242565402422239e-06,3.836005687769438e-06,1.4303829903140706e-05,8.829593364637581e-05,0.0013876981582058364,0.0005315908031339764,0.007745411176639084,0.003048791172089309,0.015196601317280364,0.0003240250049055719,0.002539604118252775,8.224471738721886e-05,0.00017870387937449805,0.02389927624312289,8.256838998703798e-05
123,1,9.042367680258634e-06,7.506069867746856e-11,1.5839174652271536e-05,1.1318101048798914e-05,0.0020595043861710675,4.0329652615200807e-07,1.2242565402422239e-06,3.836005687769438e-06,1.4303829903140706e-05,8.829593364637581e-05,0.0013876981582058364,0.0005315908031339764,0.007745411176639084,0.003048791172089309,0.015196601317280364,0.0003240250049055719,0.002539604118252775,8.224471738721886e-05,0.00017870387937449805,0.02389927624312289,8.256838998703798e-05
124,0,9.042344972030006e-06,8.466362324315119e-11,1.5928609643741323e-05,1.1390286032851282e-05,0.0020406899267859683,4.0313134091931014e-07,1.223856899654419e-06,3.533791118463114e-06,1.4393344028229872e-05,8.829608033977767e-05,0.0013892194426228988,0.0005319205527263602,0.00776237429715492,0.00304837117574934,0.015196580296969771,0.0003237908404667461,0.002539533078586282,8.224471911885593e-05,0.00017870389265526343,0.023899271747493882,8.25684692813369e-05
124,1,9.042344972030006e-06,8.466362324315119e-11,1.5928609643741323e-05,1.1390286032851282e-05,0.0020406899267859683,4.0313134091931014e-07,1.223856899654419e-06,3.533791118463114e-06,1.4393344028229872e-05,8.829608033977767e-05,0.0013892194426228988,0.0005319205527263602,0.00776237429715492,0.00304837117574934,0.015196580296969771,0.0003237908404667461,0.002539533078586282,8.224471911885593e-05,0.00017870389265526343,0.023899271747493882,8.25684692813369e-05
125,0,9.04234737220673e-06,9.946390535265387e-11,1.5835811911958445e-05,1.137841033353798e-05,0.0020414511832867717,4.031380347536851e-07,1.2238740726352324e-06,3.855639807157796e-06,1.4389585706115277e-05,8.829607285493715e-05,0.0013891576865720096,0.0005319082588077827,0.007761688020537143,0.003048791392499965,0.015196602018287465,0.0003240194362658504,0.0025395448607882904,8.223992988002268e-05,0.00017870388909895264,0.0238992720837453,8.256846621522285e-05
125,1,9.04234737220673e-06,9.946390535265387e-11,1.5835811911958445e-05,1.137841033353798e-05,0.0020414511832867717,4.031380347536851e-07,1.2238740726352324e-06,3.855639807157796e-06,1.4389585706115277e-05,8.829607285493715e-05,0.0013891576865720096,0.0005319082588077827,0.007761688020537143,0.003048791392499965,0.015196602018287465,0.0003240194362658504,0.0025395448607882904,8.223992988002268e-05,0.00017870388909895264,0.0238992720837453,8.256846621522285e-05
126,0,9.054639283826278e-06,7.744690102405679e-11,1.5839062818259497e-05,1.1330741501076426e-05,0.0020558344981378303,4.0318769918180574e-07,1.22396033774972e-06,3.836098934301591e-06,1.4321868352885542e-05,8.821679214759441e-05,0.0013880635031308511,0.0005316555454549967,0.0077487263066144466,0.0030487911134487442,0.015196601341992657,0.00032402505298497906,0.0025395916978326553,8.224374312354914e-05,0.0001786967259542975,0.023899275368784383,8.256849006151447e-05
126,1,9.054639283826278e-06,7.744690102405679e-11,1.5839062818259497e-05,1.1330741501076426e-05,0.0020558344981378303,4.0318769918180574e-07,1.22396033774972e-06,3.836098934301591e-06,1.4321868352885542e-05,8.821679214759441e-05,0.0013880635031308511,0.0005316555454549967,0.0077487263066144466,0.0030487911134487442,0.015196601341992657,0.00032402505298497906,0.0025395916978326553,8.224374312354914e-05,0.0001786967259542975,0.023899275368784383,8.256849006151447e-05
127,0,9.054737724590697e-06,4.4401907063967633e-11,1.5930325624671837e-05,1.1184128789200663e-05,0.0021040224738537415,4.0361310608202507e-07,1.2249867365994188e-06,3.5334152802642555e-06,1.4099134778653356e-05,8.821615797470799e-05,0.0013841559677567146,0.0005308038475727515,0.0077052958144209005,0.0030483720844183024,0.015196579921038246,0.00032379069238978983,0.0025397356504402104,8.226042851182557e-05,0.00017869666840658645,0.023899285996360767,8.256828522707617e-05
127,1,9.054737724590697e-06,4.4401907063967633e-11,1.5930325624671837e-05,1.1184128789200663e-05,0.0021040224738537415,4.0361310608202507e-07,1.2249867365994188e-06,3.5334152802642555e-06,1.4099134778653356e-05,8.821615797470799e-05,0.0013841559677567146,0.0005308038475727515,0.0077052958144209005,0.0030483720844183024,0.015196579921038246,0.00032379069238978983,0.0025397356504402104,8.226042851182557e-05,0.00017869666840658645,0.023899285996360767,8.256828522707617e-05
128,0,9.054666139433456e-06,6.869552917551827e-11,1.5836595846297475e-05,1.1287472975295687e-05,0.0020690340722257744,4.0330375961028416e-07,1.2242405981784452e-06,3.855178639545966e-06,1.4259853304250928e-05,8.82166191394033e-05,0.001386995036549934,0.0005314231142634666,0.007736827343052675,0.0030487917594101896,0.015196601845712867,0.0003240192095142107,0.002539634215305991,8.224694045937299e-05,0.00017869671025910234,0.02389927837346835,8.256843421733518e-05
