,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5194,0,1.6214248513808454e-08,3.805902976174404e-06,1.6100070712985433e-05,3.5684388943956434e-07,5.575418383769429e-09,9.020008179707464e-05,1.9800001272547514e-05,8.530795648512083e-06,2.68114549040745e-06,2.810016998052646e-06,5.71186763902512e-10,2.477114678526085e-09,3.494580423646365e-10,6.479354139142697e-06,2.4786496162845784e-08,5.712935321069897e-05,1.194430668911492e-08,3.6877784261136006e-07,2.0550122911603243e-06,2.5194376446213695e-10,6.494068836555931e-11
5194,1,1.6214248513808454e-08,3.805902976174404e-06,1.6100070712985433e-05,3.5684388943956434e-07,5.575418383769429e-09,9.020008179707464e-05,1.9800001272547514e-05,8.530795648512083e-06,2.68114549040745e-06,2.810016998052646e-06,5.71186763902512e-10,2.477114678526085e-09,3.494580423646365e-10,6.479354139142697e-06,2.4786496162845784e-08,5.712935321069897e-05,1.194430668911492e-08,3.6877784261136006e-07,2.0550122911603243e-06,2.5194376446213695e-10,6.494068836555931e-11
5195,0,4.271508756125146e-08,3.7975340547356106e-06,1.6054173031173576e-05,3.561175041608827e-07,4.248489445635812e-09,9.020009480272961e-05,1.9800001273340896e-05,8.715284152196781e-06,2.686422020313243e-06,2.726031846598113e-06,5.649564793850509e-10,2.216422635703541e-09,5.79511231883767e-09,6.467115672824202e-06,2.4719690263491634e-08,5.7027752035416384e-05,1.1920766418687528e-08,3.680353365257186e-07,2.0328788895090325e-06,2.5154597155241376e-10,8.405346835487371e-11
5195,1,4.271508756125146e-08,3.7975340547356106e-06,1.6054173031173576e-05,3.561175041608827e-07,4.248489445635812e-09,9.020009480272961e-05,1.9800001273340896e-05,8.715284152196781e-06,2.686422020313243e-06,2.726031846598113e-06,5.649564793850509e-10,2.216422635703541e-09,5.79511231883767e-09,6.467115672824202e-06,2.4719690263491634e-08,5.7027752035416384e-05,1.1920766418687528e-08,3.680353365257186e-07,2.0328788895090325e-06,2.5154597155241376e-10,8.405346835487371e-11
5196,0,1.7274814614109198e-08,1.2176624410686866e-09,2.4245291019468827e-09,1.6827905169314577e-09,1.331414953796155e-07,9.020002106551379e-05,1.9800000978985495e-05,4.4317352857326084e-08,8.775953123240797e-07,8.604916024214354e-06,3.403440878516767e-09,2.6335965924110388e-08,7.347130475190977e-09,4.112128433337442e-09,6.569425559099784e-12,7.794772083650689e-09,9.881135870463964e-10,1.873337119380914e-09,2.064915200896756e-07,6.455299489394051e-11,4.5165053093971716e-11
5196,1,1.7274814614109198e-08,1.2176624410686866e-09,2.4245291019468827e-09,1.6827905169314577e-09,1.331414953796155e-07,9.020002106551379e-05,1.9800000978985495e-05,4.4317352857326084e-08,8.775953123240797e-07,8.604916024214354e-06,3.403440878516767e-09,2.6335965924110388e-08,7.347130475190977e-09,4.112128433337442e-09,6.569425559099784e-12,7.794772083650689e-09,9.881135870463964e-10,1.873337119380914e-09,2.064915200896756e-07,6.455299489394051e-11,4.5165053093971716e-11
5197,0,1.6548414888894417e-08,2.6990476311399472e-09,5.767075658462352e-09,2.1377912729842385e-09,1.7187337210648344e-07,9.020002086008299e-05,1.9800000959906566e-05,5.797184242951881e-08,1.1171132897395242e-06,8.520520004152917e-06,4.149238081807907e-09,3.399642713457392e-08,9.37358280057865e-09,5.393989669852384e-09,1.0822323939785328e-11,2.1576431630731738e-08,1.29753316945036e-09,2.3909565853471844e-09,6.871225647671212e-08,2.385931251180917e-09,4.505841255393172e-11
5197,1,1.6548414888894417e-08,2.6990476311399472e-09,5.767075658462352e-09,2.1377912729842385e-09,1.7187337210648344e-07,9.020002086008299e-05,1.9800000959906566e-05,5.797184242951881e-08,1.1171132897395242e-06,8.520520004152917e-06,4.149238081807907e-09,3.399642713457392e-08,9.37358280057865e-09,5.393989669852384e-09,1.0822323939785328e-11,2.1576431630731738e-08,1.29753316945036e-09,2.3909565853471844e-09,6.871225647671212e-08,2.385931251180917e-09,4.505841255393172e-11
5198,0,1.691254437678183e-08,8.052956493713481e-10,7.882389121224734e-09,1.858358687312038e-09,1.5796702749299937e-07,9.020002095706136e-05,1.9800000968279825e-05,4.005326757162763e-08,1.032004264604894e-06,8.947733905336156e-06,3.998455413555674e-09,3.1247337726417884e-08,8.707809770122643e-09,3.718528235763935e-09,1.7757679007801563e-11,3.0614879872805246e-08,1.1869299657712995e-09,2.058270886181094e-09,1.5354377200292677e-08,3.176800836279803e-11,4.51113237612483e-11
5198,1,1.691254437678183e-08,8.052956493713481e-10,7.882389121224734e-09,1.858358687312038e-09,1.5796702749299937e-07,9.020002095706136e-05,1.9800000968279825e-05,4.005326757162763e-08,1.032004264604894e-06,8.947733905336156e-06,3.998455413555674e-09,3.1247337726417884e-08,8.707809770122643e-09,3.718528235763935e-09,1.7757679007801563e-11,3.0614879872805246e-08,1.1869299657712995e-09,2.058270886181094e-09,1.5354377200292677e-08,3.176800836279803e-11,4.51113237612483e-11
